source,destination
napier,stevens
kovan,serangoon
chinatown,fort canning
potong pasir,boon keng
farmway,kupang
bukit gombak,choa chu kang
lakeside,chinese garden
tampines,pasir ris
beauty world,king albert park
paya lebar,eunos
dhoby ghaut,little india
marina bay,bayfront
dhoby ghaut,somerset
tan kah kee,sixth avenue
farrer park,boon keng
outram park,harbourfront
raffles place,marina bay
dhoby ghaut,bras basah
tampines,simei
botanic gardens,farrer road
kovan,hougang
cove,punggol
teck whye,keat hong
bras basah,esplanade
lavender,bugis
raffles place,city hall
haw par villa,pasir panjang
senja,bukit panjang
chinese garden,lakeside
yew tee,kranji
labrador park,pasir panjang
orchard,orchard boulevard
hougang,buangkok
choa chu kang,yew tee
gardens by the bay,marina bay
esplanade,bras basah
bugis,promenade
potong pasir,woodleigh
kaki bukit,bedok north
nicoll highway,stadium
geylang bahru,mattar
upper changi,tampines east
tai seng,macpherson
hougang,kovan
chinatown,outram park
meridian,coral edge
samudera,punggol point
stevens,newton
kent ridge,one-north
pending,petir
yew tee,choa chu kang
newton,novena
promenade,nicoll highway
stadium,nicoll highway
buona vista,one-north
shenton way,maxwell
serangoon,woodleigh
beauty world,hillview
sumang,nibong
jelapang,senja
tongkang,layar
bukit panjang,petir
dakota,paya lebar
thanggam,fernvale
south view,choa chu kang
marina bay,raffles place
buona vista,holland village
woodlands,marsiling
gul circle,joo koon
fort canning,chinatown
jalan besar,bendemeer
hillview,beauty world
sumang,soo teck
bukit batok,bukit gombak
clarke quay,dhoby ghaut
fort canning,bencoolen
promenade,bayfront
jalan besar,bencoolen
jurong east,clementi
bukit panjang,cashew
punggol,sam kee
ubi,kaki bukit
bugis,lavender
pasir panjang,haw par villa
great world,havelock
redhill,queenstown
shenton way,marina bay
outram park,tanjong pagar
paya lebar,dakota
city hall,dhoby ghaut
dhoby ghaut,city hall
king albert park,sixth avenue
kranji,yew tee
tai seng,bartley
somerset,dhoby ghaut
havelock,great world
farrer park,little india
braddell,bishan
woodlands north,woodlands
macpherson,tai seng
bukit panjang,phoenix
coral edge,riviera
downtown,telok ayer
bukit gombak,bukit batok
chinatown,clarke quay
bright hill,mayflower
marina bay,marina south pier
expo,upper changi
yio chu kang,ang mo kio
somerset,orchard
woodlands,woodlands south
ubi,macpherson
cheng lim,sengkang
raffles place,tanjong pagar
macpherson,ubi
dhoby ghaut,clarke quay
lorong chuan,serangoon
bukit panjang,senja
orchard,somerset
fernvale,layar
tanjong pagar,outram park
keat hong,teck whye
mountbatten,stadium
canberra,yishun
woodlands south,springleaf
upper thomson,caldecott
bedok reservoir,bedok north
bedok,kembangan
bukit batok,jurong east
nibong,samudera
bras basah,dhoby ghaut
sengkang,buangkok
caldecott,upper thomson
bangkit,fajar
king albert park,beauty world
cashew,bukit panjang
botanic gardens,tan kah kee
telok ayer,chinatown
city hall,raffles place
stevens,caldecott
great world,orchard
thanggam,kupang
hillview,cashew
tampines west,bedok reservoir
sembawang,admiralty
samudera,nibong
bakau,rumbia
chinatown,telok ayer
marina south pier,marina bay
rumbia,compassvale
orchard boulevard,napier
segar,fajar
renjong,sengkang
punggol,cove
teck whye,phoenix
macpherson,paya lebar
rochor,little india
kranji,marsiling
tiong bahru,redhill
outram park,chinatown
clarke quay,chinatown
lentor,mayflower
jelapang,segar
pasir ris,tampines
rumbia,bakau
joo koon,pioneer
tuas link,tuas west road
compassvale,sengkang
bayfront,promenade
sengkang,renjong
rochor,bugis
farrer road,botanic gardens
admiralty,sembawang
pioneer,boon lay
kupang,farmway
boon keng,farrer park
tanah merah,bedok
kangkar,bakau
cheng lim,farmway
riviera,kadaloor
upper thomson,bright hill
newton,little india
pending,bangkit
orchard,newton
tampines east,upper changi
sengkang,cheng lim
khatib,yishun
cove,meridian
petir,pending
bayfront,marina bay
springleaf,lentor
bedok reservoir,tampines west
bedok north,kaki bukit
bartley,serangoon
phoenix,bukit panjang
kadaloor,riviera
bugis,city hall
geylang bahru,bendemeer
caldecott,stevens
outram park,tiong bahru
expo,changi airport
punggol,soo teck
sixth avenue,tan kah kee
petir,bukit panjang
punggol point,samudera
tampines east,tampines
yishun,khatib
holland village,buona vista
senja,jelapang
nicoll highway,promenade
bendemeer,jalan besar
harbourfront,telok blangah
layar,fernvale
marina bay,gardens by the bay
ranggung,sengkang
pasir panjang,labrador park
botanic gardens,caldecott
woodleigh,potong pasir
bedok north,bedok reservoir
napier,orchard boulevard
downtown,bayfront
stevens,botanic gardens
expo,tanah merah
oasis,kadaloor
lorong chuan,bishan
sengkang,compassvale
khatib,yio chu kang
clementi,dover
buangkok,hougang
tuas west road,tuas link
paya lebar,aljunied
novena,newton
kembangan,eunos
sengkang,ranggung
jurong east,chinese garden
toa payoh,braddell
tuas west road,tuas crescent
marina bay,shenton way
coral edge,meridian
little india,dhoby ghaut
chinese garden,jurong east
marymount,bishan
one-north,kent ridge
punggol,sengkang
aljunied,kallang
harbourfront,outram park
bugis,rochor
dover,buona vista
bedok,tanah merah
layar,tongkang
telok blangah,harbourfront
newton,stevens
lentor,springleaf
novena,toa payoh
dakota,mountbatten
sixth avenue,king albert park
ranggung,kangkar
braddell,toa payoh
commonwealth,buona vista
little india,newton
maxwell,outram park
promenade,esplanade
bangkit,pending
queenstown,commonwealth
stevens,napier
aljunied,paya lebar
boon lay,lakeside
lakeside,boon lay
farmway,cheng lim
orchard,great world
punggol,damai
kupang,thanggam
havelock,outram park
bencoolen,jalan besar
cashew,hillview
marsiling,woodlands
woodlands south,woodlands
telok blangah,labrador park
serangoon,bartley
keat hong,south view
tanjong pagar,raffles place
farrer road,holland village
tanah merah,expo
simei,tanah merah
tuas crescent,gul circle
kangkar,ranggung
fajar,segar
tiong bahru,outram park
fernvale,thanggam
choa chu kang,bukit gombak
canberra,sembawang
kadaloor,oasis
tampines,tampines west
tampines west,tampines
bishan,ang mo kio
kaki bukit,ubi
woodlands,woodlands north
riviera,coral edge
ang mo kio,yio chu kang
sembawang,canberra
bendemeer,geylang bahru
bayfront,downtown
changi airport,expo
kallang,lavender
tongkang,renjong
haw par villa,kent ridge
toa payoh,novena
bright hill,upper thomson
one-north,buona vista
botanic gardens,stevens
yio chu kang,khatib
choa chu kang,south view
damai,oasis
outram park,havelock
damai,punggol
simei,tampines
maxwell,shenton way
bartley,tai seng
sam kee,punggol
marymount,caldecott
clementi,jurong east
buangkok,sengkang
meridian,cove
eunos,kembangan
paya lebar,macpherson
tuas crescent,tuas west road
tan kah kee,botanic gardens
phoenix,teck whye
queenstown,redhill
eunos,paya lebar
city hall,bugis
orchard boulevard,orchard
serangoon,lorong chuan
dover,clementi
pioneer,joo koon
bishan,braddell
south view,keat hong
sengkang,punggol
yishun,canberra
little india,rochor
promenade,bugis
springleaf,woodlands south
boon lay,pioneer
buona vista,dover
little india,farrer park
bishan,lorong chuan
outram park,maxwell
telok ayer,downtown
marsiling,kranji
kallang,aljunied
segar,jelapang
boon keng,potong pasir
caldecott,botanic gardens
esplanade,promenade
holland village,farrer road
mattar,geylang bahru
oasis,damai
newton,orchard
redhill,tiong bahru
ang mo kio,bishan
gul circle,tuas crescent
jurong east,bukit batok
tanah merah,simei
woodlands,admiralty
soo teck,punggol
mattar,macpherson
mayflower,bright hill
compassvale,rumbia
woodleigh,serangoon
lavender,kallang
labrador park,telok blangah
mountbatten,dakota
nibong,sumang
renjong,tongkang
stadium,mountbatten
buona vista,commonwealth
commonwealth,queenstown
joo koon,gul circle
macpherson,mattar
soo teck,sumang
fajar,bangkit
upper changi,expo
admiralty,woodlands
bakau,kangkar
serangoon,kovan
kent ridge,haw par villa
caldecott,marymount
kembangan,bedok
tampines,tampines east
bishan,marymount
bencoolen,fort canning
mayflower,lentor
